Russian Major Surface Combatants,More Russian Major Surface Combatants,Russian Minor Surface Combatants
Identify this ship,Identify this ship,What ship class is this?
Gepard I FF,Kuznetsoc CV,Uragan PGG
https://raw.githubusercontent.com/BreakyFixy/JeopardyForge/refs/heads/main/public/images/Russian%20Major%20Combatants/Gepard%20I%20FF.png,https://raw.githubusercontent.com/BreakyFixy/JeopardyForge/refs/heads/main/public/images/Russian%20Major%20Combatants/Kuznetsov%20CV.png ,https://raw.githubusercontent.com/BreakyFixy/JeopardyForge/refs/heads/main/public/images/Russian%20Minor%20Combatants/Uragan%20PGG.png 
What ship class is this?,What ship class is this?,Identify this ship
Bykov FFLG,Steregushchiy II FF,Buyan FS
https://raw.githubusercontent.com/BreakyFixy/JeopardyForge/refs/heads/main/public/images/Russian%20Major%20Combatants/Bykov%20FFLG.png,https://raw.githubusercontent.com/BreakyFixy/JeopardyForge/refs/heads/main/public/images/Russian%20Major%20Combatants/Steregushchiy%20II%20FF.png ,https://raw.githubusercontent.com/BreakyFixy/JeopardyForge/refs/heads/main/public/images/Russian%20Minor%20Combatants/Buyan.png 
Identify this ship,Identify this ship,Name this ship class
Kirov CGN,Udaloy II DD,Tarantul III
https://raw.githubusercontent.com/BreakyFixy/JeopardyForge/refs/heads/main/public/images/Russian%20Major%20Combatants/Kirov%20CGN.png,https://raw.githubusercontent.com/BreakyFixy/JeopardyForge/refs/heads/main/public/images/Russian%20Major%20Combatants/Udaloy%20II%20DD.png ,https://raw.githubusercontent.com/BreakyFixy/JeopardyForge/refs/heads/main/public/images/Russian%20Minor%20Combatants/Tarantul%20III%20PGG.png 
Name this ship class,Name this ship class,What ship class is this?
Krivak II FF,Steregushchiy FFG,Nanuchka III PGG
https://raw.githubusercontent.com/BreakyFixy/JeopardyForge/refs/heads/main/public/images/Russian%20Major%20Combatants/Krivak%20II%20FF.png  ,https://raw.githubusercontent.com/BreakyFixy/JeopardyForge/refs/heads/main/public/images/Russian%20Major%20Combatants/Stereguchshiy%20III%20FFG.png ,https://raw.githubusercontent.com/BreakyFixy/JeopardyForge/refs/heads/main/public/images/Russian%20Minor%20Combatants/Nanuchka%20III%20PGG.png 
Identify this ship,What ship class is this?,Identify this ship
Grisha V FF,Sovermennyy DDG,Smolnyy PST
https://raw.githubusercontent.com/BreakyFixy/JeopardyForge/refs/heads/main/public/images/Russian%20Major%20Combatants/Grisha%20V%20FFL.png ,https://raw.githubusercontent.com/BreakyFixy/JeopardyForge/refs/heads/main/public/images/Russian%20Major%20Combatants/Sovremennyy%20I%20DDG.png ,https://raw.githubusercontent.com/BreakyFixy/JeopardyForge/refs/heads/main/public/images/Russian%20Minor%20Combatants/Smolnyy%20PST.png 
What ship class is this?,Identify this ship,Name this ship class
Gepard II FF,Udaloy I DD,Nanuchka IV PGG
https://raw.githubusercontent.com/BreakyFixy/JeopardyForge/refs/heads/main/public/images/Russian%20Major%20Combatants/Gepard%20II%20FF.png ,https://raw.githubusercontent.com/BreakyFixy/JeopardyForge/refs/heads/main/public/images/Russian%20Major%20Combatants/Udaloy%20I%20DD.png ,https://raw.githubusercontent.com/BreakyFixy/JeopardyForge/refs/heads/main/public/images/Russian%20Minor%20Combatants/Nanuchka%20IV%20PGG.png 
Identify this ship,Name this ship class,Identify this ship
Grisha III FF,Steregushchiy I FF,Tarantul II PGG
https://raw.githubusercontent.com/BreakyFixy/JeopardyForge/refs/heads/main/public/images/Russian%20Major%20Combatants/Grisha%20III%20FFL.png ,https://raw.githubusercontent.com/BreakyFixy/JeopardyForge/refs/heads/main/public/images/Russian%20Major%20Combatants/Steregushchiy%20I%20FF.png ,https://raw.githubusercontent.com/BreakyFixy/JeopardyForge/refs/heads/main/public/images/Russian%20Minor%20Combatants/Tarantul%20II%20PGG.png 
What ship class is this?,Identify this ship,What ship class is this?
Gorshkov FFG,Slava CG,Dergach PGGA
https://raw.githubusercontent.com/BreakyFixy/JeopardyForge/refs/heads/main/public/images/Russian%20Major%20Combatants/Gorshkov%20FFG.png ,https://raw.githubusercontent.com/BreakyFixy/JeopardyForge/refs/heads/main/public/images/Russian%20Major%20Combatants/Slava%20CG.png ,https://raw.githubusercontent.com/BreakyFixy/JeopardyForge/refs/heads/main/public/images/Russian%20Minor%20Combatants/Dergach%20PGGA.png 
Name this ship class,What ship class is this?,Identify this ship
Grigorovich FFG,Neustrashimyy FF,Buyan -M FS
https://raw.githubusercontent.com/BreakyFixy/JeopardyForge/refs/heads/main/public/images/Russian%20Major%20Combatants/Grigorovich%20FFG.png ,https://raw.githubusercontent.com/BreakyFixy/JeopardyForge/refs/heads/main/public/images/Russian%20Major%20Combatants/Neustrashimyy%20FF.png,https://raw.githubusercontent.com/BreakyFixy/JeopardyForge/refs/heads/main/public/images/Russian%20Minor%20Combatants/Buyan-M.png 
